field,quad,subquad,raedge1,raedge2,decedge1,decedge2
1148,2,2,143.60109175361106,144.95821110208908,-18.460196098039784,-17.173571733334914
1148,2,3,143.60869909630594,144.95672919455467,-17.219247447358182,-15.932905022749097
1148,3,0,142.3261233246354,143.67448752729263,-15.965311379129327,-14.687687708683265
1148,3,1,142.34147101685534,143.6821280213614,-14.724838574064833,-13.44684657093906
1148,3,2,143.61605697507866,144.9568966583382,-15.976717311767986,-14.691398808202004
1148,3,3,143.62407496028922,144.9572843472662,-14.735878128723726,-13.450837772145986
1149,0,0,144.67861981898,146.06200248210547,-18.399015041770067,-17.13843034522467
1149,0,1,144.71202670802293,146.08600800453277,-17.15863537746619,-15.897553904811074
1149,0,2,145.98564445976092,147.36029962103086,-18.426876437756015,-17.157179774038276
1149,0,3,146.01032760886793,147.3756710058164,-17.18600910332123,-15.916479769235245
1149,1,0,144.74480854686357,146.10924829817225,-15.916557637595405,-14.654570708608308
1149,1,1,144.77581204068335,146.13239075782852,-14.676064881475208,-13.413618244134403
1149,1,2,146.0345274272426,147.39165596031702,-15.943121231661074,-14.6733664823156
1149,1,3,146.05823028467944,147.40755552907777,-14.70217622631263,-13.432609183441043
1149,2,0,147.29401429882247,148.66019453159285,-18.445509714205134,-17.16794442052887
1149,2,1,147.31043652775895,148.6674164178528,-17.20491679026475,-15.926970036633701
1149,2,2,148.6015019895245,149.95868651995548,-18.457129990164535,-17.17054800292461
1149,2,3,148.60916759999165,149.95726356537904,-17.216157751004555,-15.929857329108648
1149,3,0,147.3268312850412,148.67533213054077,-15.962058715892187,-14.684514393973235
1149,3,1,147.34228863326902,148.68308242417382,-14.721547663199653,-13.443634357808333
1149,3,2,148.61678534965424,149.95776449388032,-15.973579883033194,-14.688341267449957
1149,3,3,148.6249143705479,149.9582631976642,-14.732701832681894,-13.447740754975486
1150,0,0,149.67389405113684,151.05725957281473,-18.38988881862058,-17.129376938695277
1150,0,1,149.7073864031909,151.0813552612347,-17.14949134991688,-15.888482205776418
1150,0,2,150.98081095183372,152.3554558490193,-18.417838462850543,-17.148219486114225
1150,0,3,151.00558512842014,152.3709227142254,-17.176952876403977,-15.907500649094985
1150,1,0,149.73995270011662,151.1045198771869,-15.907566847767502,-14.645647871648212
1150,1,1,149.77109299925817,151.12780220475176,-14.66699506589014,-13.40461561631564
1150,1,2,151.02965284275265,152.38691496905892,-15.934275525016737,-14.664592193996501
1150,1,3,151.0534969000762,152.40295853327845,-14.693250784067216,-13.42375441930249
1150,2,0,152.28913605219142,153.65539226079017,-18.436536727515104,-17.159062157623797
1150,2,1,152.30569745217554,153.662756582637,-17.195892735556043,-15.918035783364191
1150,2,2,153.59655247921046,154.9538201810097,-18.448296205342338,-17.161808810593016
1150,2,3,153.60436227780207,154.95254436998326,-17.207272021592058,-15.921065239266682
1150,3,0,152.32203917468175,153.67067431225846,-15.95304876636875,-14.675607402144301
1150,3,1,152.33766413361295,153.67859500972926,-14.712469564851451,-13.434658251883752
1150,3,2,153.61195010455594,154.9530703092859,-15.964738038546079,-14.679605895785418
1150,3,3,153.62025132480954,154.95374370106438,-14.723790921960656,-13.438935356629198
1151,0,0,154.66567900194462,156.04935807386357,-18.384622775085667,-17.12450020635252
1151,0,1,154.69950001100713,156.07378114492462,-17.144220905891437,-15.883598878451911
1151,0,2,155.97256577942312,157.34753284597844,-18.412953557888898,-17.143724254141336
1151,0,3,155.99767170469926,157.36332967420546,-17.17206153909201,-15.902996733458144
1151,1,0,154.73241611633338,156.0973144454087,-15.902156109395825,-14.640622350603136
1151,1,1,154.7638870937086,156.12092662398774,-14.661570025032885,-13.39957390076905
1151,1,2,156.0221012755005,157.3797021381838,-15.929251599416736,-14.659954057757767
1151,1,3,156.046278892402,157.3960779644515,-14.688210802530582,-13.41909829084186
1151,2,0,157.28094393588418,158.64741925298674,-18.4320476908255,-17.15496423000118
1151,2,1,157.29778647924104,158.65506413574008,-17.19144667033233,-15.913979007528447
1151,2,2,158.5882867482499,159.945781719002,-18.444142343053535,-17.158046971542962
1151,2,3,158.596380892124,159.94478922567254,-17.20315940343985,-15.917342694878572
1151,3,0,157.31427530700535,158.66331454916195,-15.948458942961524,-14.67152032339964
1151,3,1,157.33032205345262,158.6716548418629,-14.70789163011069,-13.43058067228757
1151,3,2,158.60415057590743,159.945683387765,-15.960622482215163,-14.675992927181333
1151,3,3,158.6128762521347,159.94677847944413,-14.71968498603707,-13.435329547356075
1152,0,0,159.67936673350366,161.06280411076233,-18.38232306353409,-17.121978706733078
1152,0,1,159.71301457679962,161.08705839498367,-17.141958265612892,-15.881115656366784
1152,0,2,160.9861921436319,162.36091577378278,-18.410402126518722,-17.140954120111957
1152,0,3,161.01112677928097,162.3765458831996,-17.169548298492828,-15.900265982242423
1152,1,0,159.74574936821045,161.11042513202807,-15.900202783525994,-14.638179077668363
1152,1,1,159.77692244595343,161.1337429149119,-14.659518923578322,-13.397034513914509
